Charge 0,,,,,Charge 1,,,,,Charge 2,,,,,Charge 3,,,,,Charge 4,,,,,Charge 5,,,,,Charge 6,,,,,Charge 7,,,,,Charge 8,,,,
deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh,deg,min,range,tof,vh
83,50,100,14,260,84,55,200,21.8,590,78,20,700,27.4,925,77,10,1100,21.8,1320,74,20,1600,36.3,1620,73,10,2000,39.5,1925,71,40,2500,42.5,2210,69,30,3000,44.3,2405,68,15,3400,46.8,2705
80,35,150,13.8,250,83,35,250,21.8,585,77,25,750,27.3,915,76,30,1150,32.8,1315,73,50,1650,36.2,1615,72,40,2050,39.4,1915,71,15,2550,42.4,2195,69,5,3050,44.2,2390,68,20,3450,46.7,2690
77,15,200,13.6,240,82,15,300,21.7,580,76,30,800,27.2,905,75,50,1200,32.7,1310,73,15,1700,36.2,1605,72,10,2100,39.3,1905,70,45,2600,42.3,2180,68,40,3100,44.1,2375,67,55,3500,46.6,2675
73,40,250,13.4,230,80,55,350,21.6,575,75,35,850,27.1,895,75,10,1250,32.6,1305,72,40,1750,36.1,1595,71,40,2150,39.2,1895,70,15,2650,42.2,2165,68,15,3150,44,2360,67,30,3550,46.5,2660
69,35,300,13,215,79,35,400,21.5,570,74,40,900,27,885,74,30,1300,32.5,1300,72,5,1800,36,1585,71,10,2200,39.1,1885,69,45,2700,42.1,2150,67,45,3200,43.9,2345,67,5,3600,46.4,2645
64,50,350,12.6,195,78,10,450,21.4,565,73,40,950,26.9,875,73,50,1350,32.4,1290,71,30,1850,35.9,1575,70,40,2250,39,1875,69,15,2750,42,2135,67,15,3250,43.7,2330,66,40,3650,46.3,2630
59,5,400,11.9,175,76,40,500,21.2,555,72,40,1000,26.8,865,73,5,1400,32.3,1280,70,55,1900,35.8,1565,70,10,2300,38.9,1865,58,45,2800,41.8,2120,66,45,3300,43.5,2315,66,15,3700,46.1,2615
51,55,450,11,150,75,10,550,21,545,71,35,1050,26.6,855,72,20,1450,32.2,1270,70,20,1950,35.7,1555,69,40,2350,38.8,1855,68,15,2850,41.6,2105,66,15,3350,43.3,2300,65,50,3750,45.9,2600
45,0,471,10,125,73,35,600,20.8,535,70,30,1100,26.4,845,71,35,1500,32.1,1260,69,45,2000,35.6,1545,69,5,2400,38.7,1845,67,45,2900,41.4,2090,65,45,3400,43.1,2285,65,25,3800,45.7,2585
,,,,,71,55,650,20.6,525,69,25,1150,26.2,835,70,50,1550,32,1250,69,10,2050,35.5,1535,68,30,2450,38.6,1835,67,15,2950,41.2,2075,65,15,3450,42.9,2270,64,55,3850,45.5,2570
,,,,,70,20,700,20.4,510,68,15,1200,26,825,70,5,1600,31.9,1240,68,30,2100,35.4,1520,67,55,2500,38.5,1825,66,45,3000,41,2060,64,45,3500,42.7,2255,64,25,3900,45.3,2550
,,,,,68,30,750,20.2,495,67,5,1250,25.8,810,69,20,1650,31.7,1225,67,50,2150,35.3,1505,67,20,2550,38.3,1815,66,10,3050,40.8,2045,64,15,3550,42.5,2235,63,55,3950,45.1,2530
,,,,,66,30,800,20,480,65,50,1300,25.5,795,68,35,1700,31.5,1210,67,10,2200,35.1,1495,66,45,2600,38.1,1800,65,35,3100,40.6,2030,63,40,3600,42.3,2215,63,25,4000,44.9,2510
,,,,,64,25,850,19.7,465,64,35,1350,25.2,780,67,45,1750,31.3,1195,66,30,2250,34.9,1480,66,10,2650,37.9,1785,65,0,3150,40.4,2015,63,5,3650,42.1,2195,62,55,4050,44.7,2490
,,,,,62,10,900,19.3,445,63,10,1400,24.9,760,66,55,1800,31.1,1180,65,50,2300,34.7,1465,65,35,2700,37.7,1770,64,25,3200,40.2,2000,62,30,3700,41.9,2175,62,25,4100,44.5,2470
,,,,,59,35,950,18.8,425,61,45,1450,24.6,740,66,5,1850,30.9,1165,65,5,2350,34.5,1455,65,0,2750,37.5,1755,63,50,3250,40,1985,61,55,3750,41.7,2155,61,50,4150,44.3,2450
,,,,,56,25,1000,17.8,400,60,15,1500,24.2,720,65,10,1900,30.7,1145,64,20,2400,34.3,1440,64,20,2800,37.3,1740,63,15,3300,39.8,1970,61,20,3800,41.5,2135,61,15,4200,44.1,2430
,,,,,52,5,1050,16.6,360,58,35,1550,23.8,695,64,15,1950,30.5,1125,63,35,2450,34.1,1425,63,40,2850,37.1,1725,62,40,3350,39.6,1950,60,40,3850,41.3,2110,60,40,4250,43.9,2405
,,,,,45,0,1093,15.4,290,56,40,1600,23.4,670,63,15,2000,30.3,1105,62,50,2500,33.9,1410,63,0,2900,36.9,1705,62,0,3400,39.4,1930,60,0,3900,41.1,2085,60,5,4300,43.7,2380
,,,,,,,,,,54,25,1650,22.9,640,62,10,2050,30,1085,62,0,2550,33.7,1390,62,20,2950,36.7,1685,61,20,3450,39.2,1910,59,20,3950,40.9,2060,59,30,4350,43.5,2355
,,,,,,,,,,51,45,1700,22.1,605,61,5,2100,29.7,1265,61,10,2600,33.5,1370,61,35,3000,36.5,1665,60,40,3500,39,1885,58,40,4000,40.6,2030,58,55,4400,43.3,2330
,,,,,,,,,,48,10,1750,20.9,540,59,55,2150,29.3,1045,60,15,2650,33.2,1350,60,50,3050,36.3,1645,60,0,3550,38.8,1860,58,0,4050,40.3,2000,58,20,4450,43.1,2300
,,,,,,,,,,45,0,1773,20,490,58,40,2200,28.9,1020,59,20,2700,32.9,1325,60,5,3100,36.1,1625,59,15,3600,38.6,1835,57,15,4100,40,1970,57,45,4500,42.9,2270
,,,,,,,,,,,,,,,57,20,2250,28.4,990,58,20,2750,32.6,1300,59,15,3150,35.8,1600,58,30,3650,38.3,1805,56,30,4150,39.6,1935,57,5,4550,42.6,2240
,,,,,,,,,,,,,,,55,55,2300,27.8,955,57,15,2800,32.2,1270,58,25,3200,35.5,1575,57,40,3700,38,1775,55,40,4200,39.2,1895,56,25,4600,42.3,2205
,,,,,,,,,,,,,,,54,25,2350,27.2,915,56,10,2850,31.8,1235,57,35,3250,35.2,1550,56,45,3750,37.6,1740,54,45,4250,38.8,1850,55,45,4650,42,2170
,,,,,,,,,,,,,,,52,35,2400,26.4,875,55,0,2900,31.3,1200,56,40,3300,34.8,1520,55,50,3800,37.2,1705,53,50,4300,38.4,1805,55,5,4700,41.7,2135
